method,gender,subject,dist_mean_mm,dist_Femur_mm,dist_Pelvis_mm,dist_Humerus_mm,dist_Radius-Ulna_mm,dist_Tibia-Fibula_mm
SKEL-J,female,PREG_3184_MW,10.0024,8.1780,17.6900,8.8952,7.8608,7.3879
SKEL-J,female,PREG_3304_CK,10.8183,9.8021,17.0211,6.7868,5.4148,15.0666
SKEL-J,female,PREG_3897_HP,10.0966,9.1717,14.4474,9.5105,7.2186,10.1347
SKEL-J,female,PREG_4108_IH,6.6071,7.8230,8.8532,5.0402,4.2112,7.1077
SKEL-J,female,RS050248_,9.9388,15.6843,7.4432,10.7031,6.8403,9.0230
SKEL-J,female,TULIP_1560_EM,6.9278,6.6893,5.9171,7.7506,7.1434,7.1386
SKEL-J,female,VS114_,12.9564,13.3714,7.9920,14.7654,12.5555,16.0978
SKEL-J,female,YB915,8.3982,8.8543,6.0844,10.5893,8.7188,7.7443
SKEL-J,male,GKF_TSneu_,9.1740,7.5133,12.4295,10.5889,7.5650,7.7731
SKEL-J,male,GS300553,8.2559,8.2073,8.6256,7.1097,8.7729,8.5640
SKEL-J,male,MS695,9.7341,10.5633,11.0502,7.4401,7.4775,12.1391
SKEL-J,male,NASI_3394_JW,10.7579,12.2296,12.7292,10.5832,7.8705,10.3767
SKEL-J,male,NASI_3421_MK,7.8465,6.9167,8.9088,9.1789,7.5012,6.7270
SKEL-J,male,NRE_3474_ED,8.6188,9.2750,10.0581,8.2781,7.3781,8.1048
SKEL-J,male,NUP_2590_SB,10.3202,11.9769,17.5606,6.2506,4.4901,11.3229
SKEL-J,male,PLIS_3877_KR,8.3174,8.9142,13.1490,6.9224,5.3600,7.2415
SKEL-J,male,RA050343,9.2670,8.9142,10.9868,9.2889,8.0390,9.1061
SKEL-J,male,RES_3119_RF,8.4085,8.0839,10.0769,8.1095,7.2471,8.5250
SKEL-J,male,TA1329,11.3194,16.5568,13.5624,8.5246,8.9291,9.0243
SKEL-J,male,TULIP002_1585_MS,6.9382,7.2493,8.9807,7.0943,5.8844,5.4824
SKEL-J,male,TULIP00_1547_WS,11.5277,9.4116,11.9459,15.1724,10.7759,10.3325
SKEL-J,male,TULIP00_1812_SS,10.4460,9.5877,8.8706,12.4210,10.6896,10.6609
